"route_id,agency_id,""route_short_name"",""route_long_name"",""route_desc"",route_type,""route_url"",""route_color"",""route_text_color"""
"48574,1,""170"",""Beringen - Mol"",""Beringen - Mol/Mol - Beringen"",3,"""",""229922"",""FFFFFF"""
"48575,1,""17a"",""Diest - Mol / Leopoldsburg"",""Diest - Leopoldsburg/Mol/Mol/Leopoldsburg - Diest"",3,"""",""1199DD"",""FFFFFF"""
"48576,1,""17c"",""Tessenderlo - Ham"",""Tessenderlo - Ham/Ham - Tessenderlo"",3,"""",""EE8822"",""FFFFFF"""
"48577,1,""17c"",""Tessenderlo (schoolbediening)"",""Tessenderlo/Deurne - Tessend broedersch/Tessenderlo broederschool-Tessend/Deurne"",3,"""",""EE8822"",""FFFFFF"""
"48578,1,""178"",""Brussel - Leuven - Houthalen- Maaseik"",""Maaseik - Brussel/Brussel - Maaseik"",3,"""",""0099AA"",""000000"""
"48579,1,""179"",""Brussel - Leuven - Beringen - Leopoldsburg -Hamont"",""Brussel - Hamont/Hamont - Brussel"",3,"""",""991199"",""FFFFFF"""
"48580,1,""180"",""Lommel - Hasselt"",""Hasselt - Lommel/Lommel - Hasselt"",3,"""",""005555"",""FFFFFF"""
"48581,1,""18a"",""Hasselt - Houthalen - Neerpelt - Achel"",""Hasselt - Achel/Achel - Hasselt"",3,"""",""771133"",""FFFFFF"""
"48582,1,""182"",""Hasselt - Neerpelt - Achel Sneldienst"",""Hasselt - Achel Sneldienst/Achel - Hasselt Sneldienst"",3,"""",""BB0022"",""FFFFFF"""
"48583,1,""183"",""Genk - Bree - Neerpelt Sneldienst"",""Genk - Neerpelt Sneldienst/Neerpelt - Genk Sneldienst"",3,"""",""FFCC11"",""000000"""
"48584,1,""184"",""Leopoldsburg-Tessenderlo-Diest Sneldienst"",""Leopoldsburg - Tessenderlo - Diest Sneldienst/Diest - Tessenderlo - Leopoldsburg Sneldienst"",3,"""",""C5AA77"",""000000"""
"48585,1,""19b"",""Kwaadmechelen - Westerlo"",""Kwaadmechelen - Westerlo/Westerlo - Kwaadmechelen"",3,"""",""DD0077"",""FFFFFF"""
"48586,1,""20a"",""Hasselt - Bilzen - Maastricht/Lanaken - Rekem"",""Hasselt - Lanaken/Maastricht/Maastricht/Lanaken - Hasselt"",3,"""",""8899AA"",""000000"""
"48587,1,""21a"",""Hasselt - Sint-Truiden - Landen"",""Hasselt - Landen/Landen - Hasselt"",3,"""",""C5AA77"",""000000"""
"48588,1,""23a"",""Sint-Truiden - Tongeren"",""Sint-Truiden - Tongeren/Tongeren - Sint-Truiden"",3,"""",""005555"",""FFFFFF"""
"48589,1,""23a"",""Sint-Truiden - Tongeren (bediening Wellen)"",""Sint-Truiden - Tongeren Bediening Wellen/Tongeren - Sint-Truiden Bediening Wellen"",3,"""",""005555"",""FFFFFF"""
"48590,1,""15b"",""Pendel Geel Thomas More"",""Geel Station - Geel Thomas More/Geel Thomas More - Geel Station"",3,"""",""0044BB"",""FFFFFF"""
"48591,1,""283"",""Hasselt - Houthalen - Peer - Kleine Brogel"",""Hasselt - Kleine Brogel/Kleine Brogel - Hasselt"",3,"""",""77CCAA"",""000000"""
"48592,1,""299"",""Hasselt - Diest - Geel"",""Hasselt - Geel/Geel - Hasselt"",3,"""",""FF88AA"",""000000"""
"48593,1,""302"",""Maaseik - Leopoldsburg - Geel"",""Maaseik - Geel/Geel - Maaseik"",3,"""",""995511"",""FFFFFF"""
"48594,1,""306"",""Geel - Leuven - Brussel"",""Leuven - Geel/Geel - Leuven"",3,"""",""C5AA77"",""000000"""
"48595,1,""307"",""Lommel (schoolbediening)"",""Lommel Kolonie - Lommel Provil/Lommel Provil - Lommel Kolonie"",3,"""",""BBDD00"",""000000"""
"48596,1,""34a"",""Bilzen - Tongeren"",""Bilzen - Tongeren/Tongeren - Bilzen"",3,"""",""229922"",""FFFFFF"""
"48597,1,""346"",""Landen - Tienen"",""Landen - Tienen/Tienen - Landen"",3,"""",""991199"",""FFFFFF"""
"48598,1,""348"",""Landen - Ezemaal - Overhespen schoolbediening"",""Landen - Overhespen/Overhespen - Landen"",3,"""",""BB0022"",""FFFFFF"""
